─── Stage 3: Scrape page content ───
Gyms with relevant pages: 2036
Will process:             2036
Concurrency:              6


  1668/2036 — scraped 1577, all-failed 91  
  1674/2036 — scraped 1583, all-failed 91  
  1680/2036 — scraped 1588, all-failed 92  
  1686/2036 — scraped 1594, all-failed 92  
  1692/2036 — scraped 1599, all-failed 93  
  1698/2036 — scraped 1605, all-failed 93  
  1704/2036 — scraped 1611, all-failed 93  
  1710/2036 — scraped 1617, all-failed 93  
  1716/2036 — scraped 1623, all-failed 93  
  1722/2036 — scraped 1629, all-failed 93  
  1728/2036 — scraped 1634, all-failed 94  
  1734/2036 — scraped 1640, all-failed 94  
  1740/2036 — scraped 1645, all-failed 95  
  1746/2036 — scraped 1650, all-failed 96  
  1752/2036 — scraped 1655, all-failed 97  
  1758/2036 — scraped 1661, all-failed 97  
  1764/2036 — scraped 1667, all-failed 97  
  1770/2036 — scraped 1671, all-failed 99  
  1776/2036 — scraped 1677, all-failed 99  
  1782/2036 — scraped 1683, all-failed 99  
  1788/2036 — scraped 1689, all-failed 99  
  1794/2036 — scraped 1695, all-failed 99  
  1800/2036 — scraped 1701, all-failed 99  
  1806/2036 — scraped 1707, all-failed 99  
  1812/2036 — scraped 1713, all-failed 99  
  1818/2036 — scraped 1717, all-failed 101  
  1824/2036 — scraped 1723, all-failed 101  
  1830/2036 — scraped 1729, all-failed 101  
  1836/2036 — scraped 1734, all-failed 102  
  1842/2036 — scraped 1740, all-failed 102  
  1848/2036 — scraped 1745, all-failed 103  
  1854/2036 — scraped 1749, all-failed 105  
  1860/2036 — scraped 1755, all-failed 105  
  1866/2036 — scraped 1761, all-failed 105  
  1872/2036 — scraped 1767, all-failed 105  
  1878/2036 — scraped 1773, all-failed 105  
  1884/2036 — scraped 1779, all-failed 105  
  1890/2036 — scraped 1785, all-failed 105  
  1896/2036 — scraped 1791, all-failed 105  
  1902/2036 — scraped 1797, all-failed 105  
  1908/2036 — scraped 1803, all-failed 105  
  1914/2036 — scraped 1807, all-failed 107  
  1920/2036 — scraped 1813, all-failed 107  
  1926/2036 — scraped 1819, all-failed 107  
  1932/2036 — scraped 1824, all-failed 108  
  1938/2036 — scraped 1830, all-failed 108  
  1944/2036 — scraped 1836, all-failed 108  
  1950/2036 — scraped 1842, all-failed 108  
  1956/2036 — scraped 1847, all-failed 109  
  1962/2036 — scraped 1853, all-failed 109  
  1968/2036 — scraped 1858, all-failed 110  
  1974/2036 — scraped 1864, all-failed 110  
  1980/2036 — scraped 1870, all-failed 110  
  1986/2036 — scraped 1876, all-failed 110  
  1992/2036 — scraped 1882, all-failed 110  
  1998/2036 — scraped 1888, all-failed 110  
  2004/2036 — scraped 1894, all-failed 110  
  2010/2036 — scraped 1900, all-failed 110  
  2016/2036 — scraped 1906, all-failed 110  
  2022/2036 — scraped 1912, all-failed 110  
  2028/2036 — scraped 1918, all-failed 110  
  2034/2036 — scraped 1924, all-failed 110  
  2036/2036 — scraped 1926, all-failed 110  

Wrote 1926 entries to scripts/pipeline/data/03-scrape-index.json
Wrote 110 entries to scripts/pipeline/data/03-failures.json

Summary:
  Processed:      2036
  Got pages:      1926
  All failed:     110

Failure reasons:
  too_short                    120
  timeout                      2
  HTTP 404                     2
  HTTP 403                     2
